id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2022-1517171,2022-01-13,000001,Vente,179000,1,,IMP JEAN MOULIN,4561,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0349,,,100,69.26,,,,,,,,,1,2,Appartement,68,4,,,,,,2.330223,48.941063
2022-1517171,2022-01-13,000001,Vente,179000,1,,IMP JEAN MOULIN,4561,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0349,,,100,69.26,,,,,,,,,1,3,Dépendance,,0,,,,,,2.330223,48.941063
2022-1517285,2022-01-19,000001,Vente,119000,31,,AV JEAN MOULIN,4560,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0302,,,13,,131,46.24,,,,,,,2,2,Appartement,44,2,,,,,,2.330901,48.940239
2022-1517285,2022-01-19,000001,Vente,119000,31,,AV JEAN MOULIN,4560,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0302,,,13,,131,46.24,,,,,,,2,3,Dépendance,,0,,,,,,2.330901,48.940239
2022-1517321,2022-01-07,000001,Vente,2100000,6,,AV MARCELIN BERTHELOT,5158,92390,92078,Villeneuve-la-Garenne,92,,,920780000A0074,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,897,0,S,sols,,,2853,2.317386,48.945132
2022-1517354,2022-01-17,000001,Vente,574000,9,,RUE DES SORBIERS AUX OISEAUX,8545,92390,92078,Villeneuve-la-Garenne,92,,,920780000E0182,,,,,,,,,,,,,0,1,Maison,128,5,S,sols,,,350,2.334238,48.939727
2022-1517403,2022-01-10,000001,Vente,187000,51,,RUE DU HAUT DE LA NOUE,4410,92390,92078,Villeneuve-la-Garenne,92,,,920780000M0171,,,1221,,1231,55.04,,,,,,,2,2,Appartement,53,3,,,,,,2.326408,48.932486
2022-1517403,2022-01-10,000001,Vente,187000,51,,RUE DU HAUT DE LA NOUE,4410,92390,92078,Villeneuve-la-Garenne,92,,,920780000M0171,,,1221,,1231,55.04,,,,,,,2,3,Dépendance,,0,,,,,,2.326408,48.932486
2022-1517578,2022-01-07,000001,Vente,122000,12,,RUE HENRI BARBUSSE,4420,92390,92078,Villeneuve-la-Garenne,92,,,920780000H0143,,,73,,,,,,,,,,1,2,Appartement,27,1,,,,,,2.334997,48.936893
2022-1517578,2022-01-07,000001,Vente,122000,12,,RUE HENRI BARBUSSE,4420,92390,92078,Villeneuve-la-Garenne,92,,,920780000H0143,,,181,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.334997,48.936893
2022-1517596,2022-01-26,000001,Vente,180000,1,,RUE CAMILLE DU GAST,0800,92390,92078,Villeneuve-la-Garenne,92,,,920780000N0163,,,5087,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.328868,48.927027
2022-1517596,2022-01-26,000001,Vente,180000,1,,RUE CAMILLE DU GAST,0800,92390,92078,Villeneuve-la-Garenne,92,,,920780000N0163,,,2014,,,,,,,,,,1,2,Appartement,40,2,,,,,,2.328868,48.927027
2022-1517720,2022-01-17,000001,Vente,164900,43,,RUE DU HAUT DE LA NOUE,4410,92390,92078,Villeneuve-la-Garenne,92,,,920780000M0171,,,1303,,1315,54.94,,,,,,,2,2,Appartement,53,3,,,,,,2.326408,48.932486
2022-1517720,2022-01-17,000001,Vente,164900,43,,RUE DU HAUT DE LA NOUE,4410,92390,92078,Villeneuve-la-Garenne,92,,,920780000M0171,,,1303,,1315,54.94,,,,,,,2,3,Dépendance,,0,,,,,,2.326408,48.932486
2022-1517772,2022-01-27,000001,Vente,305000,43,,RUE PAUL SIGNAC,6658,92390,92078,Villeneuve-la-Garenne,92,,,920780000D0473,,,51,79.52,,,,,,,,,1,2,Appartement,81,4,,,,,,2.328652,48.943509
2022-1517772,2022-01-27,000001,Vente,305000,43,,RUE PAUL SIGNAC,6658,92390,92078,Villeneuve-la-Garenne,92,,,920780000D0473,,,18,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.328652,48.943509
2022-1517850,2022-01-27,000001,Vente,200000,9001,,PL ANDRE MALRAUX,0043,92390,92078,Villeneuve-la-Garenne,92,,,920780000I0314,,,1528,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.332382,48.934813
2022-1517850,2022-01-27,000001,Vente,200000,7,,PL ANDRE MALRAUX,0043,92390,92078,Villeneuve-la-Garenne,92,,,920780000I0314,,,1301,75.04,,,,,,,,,1,2,Appartement,78,4,,,,,,2.332382,48.934813
2022-1517889,2022-02-04,000001,Vente,205000,1,,MAIL ROGER PREVOT,8140,92390,92078,Villeneuve-la-Garenne,92,,,920780000D0469,,,26,50.87,5,,,,,,,,2,2,Appartement,50,2,,,,,,2.327176,48.943565
