id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-1225020,2023-01-13,000001,Vente,155000,48,,AV JEAN MOULIN,4560,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0313,,,84,59.67,90,,,,,,,,2,3,Dépendance,,0,,,,,,2.332128,48.938453
2023-1225020,2023-01-13,000001,Vente,155000,48,,AV JEAN MOULIN,4560,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0313,,,84,59.67,90,,,,,,,,2,2,Appartement,58,3,,,,,,2.332128,48.938453
2023-1225164,2023-01-18,000001,Vente,110000,39,,BD GALLIENI,4115,92390,92078,Villeneuve-la-Garenne,92,,,920780000N0175,,,306,21.93,,,,,,,,,1,2,Appartement,21,1,,,,,,2.327666,48.92669
2023-1225273,2023-01-18,000001,Vente,161000,53,,RUE DU HAUT DE LA NOUE,4410,92390,92078,Villeneuve-la-Garenne,92,,,920780000M0171,,,1213,54.2,,,,,,,,,1,3,Dépendance,,0,,,,,,2.326408,48.932486
2023-1225273,2023-01-18,000001,Vente,161000,53,,RUE DU HAUT DE LA NOUE,4410,92390,92078,Villeneuve-la-Garenne,92,,,920780000M0171,,,1202,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.326408,48.932486
2023-1225273,2023-01-18,000001,Vente,161000,53,,RUE DU HAUT DE LA NOUE,4410,92390,92078,Villeneuve-la-Garenne,92,,,920780000M0171,,,1202,,,,,,,,,,1,2,Appartement,64,4,,,,,,2.326408,48.932486
2023-1225273,2023-01-18,000001,Vente,161000,53,,RUE DU HAUT DE LA NOUE,4410,92390,92078,Villeneuve-la-Garenne,92,,,920780000M0171,,,1213,54.2,,,,,,,,,1,2,Appartement,53,3,,,,,,2.326408,48.932486
2023-1225761,2023-01-19,000001,Vente,120000,14,,RUE CHAILLON,1435,92390,92078,Villeneuve-la-Garenne,92,,,920780000G0385,,,153,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,25,0,,,,,,2.329585,48.936261
2023-1225808,2023-02-03,000001,Vente,160000,14,,AV JEAN MOULIN,4560,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0313,,,727,,742,,,,,,,,2,2,Appartement,58,3,,,,,,2.332128,48.938453
2023-1225808,2023-02-03,000001,Vente,160000,14,,AV JEAN MOULIN,4560,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0313,,,727,,742,,,,,,,,2,3,Dépendance,,0,,,,,,2.332128,48.938453
2023-1225843,2023-02-10,000001,Vente en l'état futur d'achèvement,345000,24,,QUAI ALFRED SISLEY,0037,92390,92078,Villeneuve-la-Garenne,92,,,920780000E0054,,,100,,,,,,,,,,1,,,,,,,,,,2.335188,48.938541
2023-1225843,2023-02-10,000001,Vente en l'état futur d'achèvement,345000,24,,QUAI ALFRED SISLEY,0037,92390,92078,Villeneuve-la-Garenne,92,,,920780000E0054,,,27,108.1,,,,,,,,,1,,,,,,,,,,2.335188,48.938541
