id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2020-751659,2020-07-07,000001,Vente en l'état futur d'achèvement,12500,55,,BD GALLIENI,4115,92390,92078,Villeneuve-la-Garenne,92,,,920780000N0163,,,5032,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.328868,48.927027
2020-751661,2020-07-01,000001,Vente,366826,15,,ALL SAINT PAUL,8300,92390,92078,Villeneuve-la-Garenne,92,,,920780000I0286,,,1623,,213,,,,,,,,2,2,Appartement,131,4,,,,,,2.334307,48.934052
2020-751661,2020-07-01,000001,Vente,366826,204,,BD GALLIENI,4115,92390,92078,Villeneuve-la-Garenne,92,,,920780000I0286,,,1442,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.334307,48.934052
2020-751705,2020-07-01,000001,Vente,210000,26,,AV DU PONANT,7155,92390,92078,Villeneuve-la-Garenne,92,,,920780000D0478,,,55,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.327526,48.944384
2020-751705,2020-07-01,000001,Vente,210000,26,,AV DU PONANT,7155,92390,92078,Villeneuve-la-Garenne,92,,,920780000D0478,,,41,,,,,,,,,,1,2,Appartement,95,4,,,,,,2.327526,48.944384
2020-751723,2020-07-15,000001,Vente,175000,46,,AV JEAN MOULIN,4560,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0313,,,99,,,,,,,,,,1,2,Appartement,58,3,,,,,,2.332128,48.938453
2020-751723,2020-07-15,000001,Vente,175000,46,,AV JEAN MOULIN,4560,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0313,,,118,,,,,,,,,,1,2,Appartement,58,3,,,,,,2.332128,48.938453
2020-751783,2020-07-17,000001,Vente en l'état futur d'achèvement,324500,33,,BD GALLIENI,4115,92390,92078,Villeneuve-la-Garenne,92,,,920780000N0243,,,3014,76.46,,,,,,,,,1,2,Appartement,76,4,,,,,,2.327009,48.926443
2020-751783,2020-07-17,000001,Vente en l'état futur d'achèvement,324500,33,,BD GALLIENI,4115,92390,92078,Villeneuve-la-Garenne,92,,,920780000N0243,,,7092,15.1,,,,,,,,,1,3,Dépendance,,0,,,,,,2.327009,48.926443
2020-751831,2020-07-23,000001,Vente en l'état futur d'achèvement,300000,33,,BD GALLIENI,4115,92390,92078,Villeneuve-la-Garenne,92,,,920780000N0243,,,2031,60.49,,,,,,,,,1,2,Appartement,60,3,,,,,,2.327009,48.926443
2020-751831,2020-07-23,000001,Vente en l'état futur d'achèvement,300000,33,,BD GALLIENI,4115,92390,92078,Villeneuve-la-Garenne,92,,,920780000N0243,,,7054,12.5,,,,,,,,,1,3,Dépendance,,0,,,,,,2.327009,48.926443
2020-751838,2020-07-22,000001,Vente en l'état futur d'achèvement,12500,55,,BD GALLIENI,4115,92390,92078,Villeneuve-la-Garenne,92,,,920780000N0163,,,5033,12,,,,,,,,,1,3,Dépendance,,0,,,,,,2.328868,48.927027
2020-751858,2020-07-17,000001,Vente,21472,10,,PL ANDRE MALRAUX,0043,92390,92078,Villeneuve-la-Garenne,92,,,920780000I0314,,,208,21.85,,,,,,,,,1,2,Appartement,30,1,,,,,,2.332382,48.934813
2020-751872,2020-07-09,000001,Vente,127500,2,,MAIL ROGER PREVOT,8140,92390,92078,Villeneuve-la-Garenne,92,,,920780000D0433,,,148,26.84,,,,,,,,,1,2,Appartement,26,1,,,,,,2.328005,48.94366
2020-751885,2020-07-23,000001,Vente,202652,38,,AV JEAN MOULIN,4560,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0313,,,289,57.51,295,,,,,,,,2,2,Appartement,58,3,,,,,,2.332128,48.938453
2020-751899,2020-07-21,000001,Vente,260000,33,,AV DU PONANT,7155,92390,92078,Villeneuve-la-Garenne,92,,,920780000D0491,,,300,74.56,,,,,,,,,1,4,Local industriel. commercial ou assimilé,82,0,,,,,,2.325855,48.944007
2020-752046,2020-07-15,000001,Vente,164000,2,,IMP JEAN MOULIN,4561,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0298,,,83,,,,,,,,,,1,2,Appartement,53,3,,,,,,2.330997,48.940827
2020-752046,2020-07-15,000001,Vente,164000,4,,IMP JEAN MOULIN,4561,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0298,,,193,55.05,,,,,,,,,1,2,Appartement,53,3,,,,,,2.330997,48.940827
2020-752084,2020-07-22,000001,Vente,144000,4,,IMP JEAN MOULIN,4561,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0298,,,137,55.55,,,,,,,,,1,2,Appartement,53,3,,,,,,2.330997,48.940827
2020-752084,2020-07-22,000001,Vente,144000,12,,IMP JEAN MOULIN,4561,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0298,,,75,,,,,,,,,,1,2,Appartement,53,3,,,,,,2.330997,48.940827
2020-752169,2020-07-22,000001,Vente,142000,15,,AV PAUL HERBE,6655,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0308,,,175,,19,44.8,,,,,,,2,2,Appartement,42,2,,,,,,2.325915,48.939675
2020-752179,2020-07-23,000001,Vente,400000,10,,RUE DU ONZE NOVEMBRE 1918,6800,92390,92078,Villeneuve-la-Garenne,92,,,920780000J0075,,,,,,,,,,,,,0,1,Maison,84,3,S,sols,,,214,2.333837,48.931319
2020-752187,2020-08-04,000001,Vente,321000,34,,ALL DES ACACIAS,0011,92390,92078,Villeneuve-la-Garenne,92,,,920780000L0407,,,509,88.4,,,,,,,,,1,1,Maison,72,4,,,,,,2.328818,48.932875
2020-752204,2020-08-07,000001,Vente,160000,16,,AV JEAN MOULIN,4560,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0313,,,715,,,,,,,,,,1,2,Appartement,58,3,,,,,,2.332128,48.938453
2020-752204,2020-08-07,000001,Vente,160000,16,,AV JEAN MOULIN,4560,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0313,,,713,59.17,,,,,,,,,1,2,Appartement,58,3,,,,,,2.332128,48.938453
2020-752241,2020-07-30,000001,Vente,173000,14,,RUE CHAILLON,1435,92390,92078,Villeneuve-la-Garenne,92,,,920780000G0385,,,205,,94,57.21,,,,,,,2,2,Appartement,56,3,,,,,,2.329585,48.936261
2020-752251,2020-07-29,000001,Vente,220000,38,,AV DE VERDUN,9160,92390,92078,Villeneuve-la-Garenne,92,,,920780000G0772,,,412,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.330838,48.935809
2020-752251,2020-07-29,000001,Vente,220000,38,,AV DE VERDUN,9160,92390,92078,Villeneuve-la-Garenne,92,,,920780000G0772,,,500,,547,69.1,,,,,,,2,2,Appartement,71,3,,,,,,2.330838,48.935809
2020-752253,2020-08-07,000001,Vente,149000,16,,AV JEAN MOULIN,4560,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0313,,,706,59.36,,,,,,,,,1,2,Appartement,58,3,,,,,,2.332128,48.938453
2020-752253,2020-08-07,000001,Vente,149000,16,,AV JEAN MOULIN,4560,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0313,,,679,,,,,,,,,,1,2,Appartement,58,3,,,,,,2.332128,48.938453
2020-752261,2020-08-07,000001,Vente,303000,19,,AV DU PONANT,7155,92390,92078,Villeneuve-la-Garenne,92,,,920780000D0468,,,468,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.327129,48.943904
2020-752261,2020-08-07,000001,Vente,303000,23,,AV DU PONANT,7155,92390,92078,Villeneuve-la-Garenne,92,,,920780000D0468,,,101,77.4,506,,,,,,,,2,2,Appartement,78,4,,,,,,2.327129,48.943904
2020-752274,2020-08-07,000001,Vente,178000,16,,AV JEAN MOULIN,4560,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0313,,,709,59.3,,,,,,,,,1,2,Appartement,58,3,,,,,,2.332128,48.938453
2020-752274,2020-08-07,000001,Vente,178000,16,,AV JEAN MOULIN,4560,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0313,,,719,,,,,,,,,,1,2,Appartement,58,3,,,,,,2.332128,48.938453
2020-752290,2020-07-21,000001,Vente,330000,32,,RUE POINTET,7150,92390,92078,Villeneuve-la-Garenne,92,,,920780000L0151,,,,,,,,,,,,,0,1,Maison,63,4,S,sols,,,130,2.330185,48.933112
2020-752321,2020-08-14,000001,Vente,179000,22,,AV JEAN MOULIN,4560,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0313,,,557,,,,,,,,,,1,2,Appartement,58,3,,,,,,2.332128,48.938453
2020-752321,2020-08-14,000001,Vente,179000,22,,AV JEAN MOULIN,4560,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0313,,,579,59.58,,,,,,,,,1,2,Appartement,58,3,,,,,,2.332128,48.938453
2020-752324,2020-08-20,000001,Vente,130000,31,,AV JEAN MOULIN,4560,92390,92078,Villeneuve-la-Garenne,92,,,920780000F0302,,,205,46.34,88,,,,,,,,2,2,Appartement,46,2,,,,,,2.330901,48.940239
2020-752383,2020-09-01,000001,Vente,421190,24,,AV DU PONANT,7155,92390,92078,Villeneuve-la-Garenne,92,,,920780000D0470,,,87,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.328418,48.944123
2020-752383,2020-09-01,000001,Vente,421190,24,,AV DU PONANT,7155,92390,92078,Villeneuve-la-Garenne,92,,,920780000D0470,,,8,100.22,,,,,,,,,1,2,Appartement,101,5,,,,,,2.328418,48.944123
2020-752416,2020-09-02,000001,Vente en l'état futur d'achèvement,266000,33,,BD GALLIENI,4115,92390,92078,Villeneuve-la-Garenne,92,,,920780000N0243,,,2040,42.5,,,,,,,,,1,2,Appartement,61,2,,,,,,2.327009,48.926443
