id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1106313,2024-01-18,000001,Vente en l'état futur d'achèvement,369250,11,,AV MARC SANGNIER,5152,92390,92078,Villeneuve-la-Garenne,92,,,920780000N0249,,,59,,,,,,,,,,1,,,,,,,,,,2.327029,48.927197
2024-1106313,2024-01-18,000001,Vente en l'état futur d'achèvement,369250,11,,AV MARC SANGNIER,5152,92390,92078,Villeneuve-la-Garenne,92,,,920780000N0249,,,148,,,,,,,,,,1,,,,,,,,,,2.327029,48.927197
2024-1106368,2024-01-09,000001,Vente,215000,4,,RUE PAUL SIGNAC,6658,92390,92078,Villeneuve-la-Garenne,92,,,920780000D0491,,,3,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.325855,48.944007
2024-1106368,2024-01-09,000001,Vente,215000,43,,AV DU PONANT,7155,92390,92078,Villeneuve-la-Garenne,92,,,920780000D0491,,,403,60.5,,,,,,,,,1,2,Appartement,59,3,,,,,,2.325855,48.944007
2024-1106369,2024-01-19,000001,Vente,158500,14,,RUE CHAILLON,1435,92390,92078,Villeneuve-la-Garenne,92,,,920780000G0385,,,103,65.08,214,,,,,,,,2,3,Dépendance,,0,,,,,,2.329585,48.936261
2024-1106369,2024-01-19,000001,Vente,158500,14,,RUE CHAILLON,1435,92390,92078,Villeneuve-la-Garenne,92,,,920780000G0385,,,103,65.08,214,,,,,,,,2,2,Appartement,65,4,,,,,,2.329585,48.936261
2024-1106425,2024-01-08,000001,Vente,107000,39,,BD GALLIENI,4115,92390,92078,Villeneuve-la-Garenne,92,,,920780000N0175,,,288,22.99,,,,,,,,,1,2,Appartement,22,1,,,,,,2.327666,48.92669
2024-1106554,2024-01-25,000001,Vente,378698,46,,AV DU PONANT,7155,92390,92078,Villeneuve-la-Garenne,92,,,920780000D0490,,,318,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.325824,48.944372
2024-1106554,2024-01-25,000001,Vente,378698,50,,AV DU PONANT,7155,92390,92078,Villeneuve-la-Garenne,92,,,920780000D0490,,,132,87.39,,,,,,,,,1,2,Appartement,87,4,,,,,,2.325824,48.944372
2024-1106582,2024-01-22,000001,Vente,145700,14,,RUE CHAILLON,1435,92390,92078,Villeneuve-la-Garenne,92,,,920780000G0385,,,181,,70,56.25,,,,,,,2,3,Dépendance,,0,,,,,,2.329585,48.936261
